gen,sp,filename
Pandion,haliaetus,XC363809-Fischadler3.wav
Pandion,haliaetus,XC465293-fisch0628.wav
Pandion,haliaetus,XC465294-fischa0631.wav
Pandion,haliaetus,XC363812-Fischadler5.wav
Pandion,haliaetus,XC188697-fiachadl0756.wav
Pandion,haliaetus,XC256269-fischa0830.wav
Iduna,caligata,XC139172-caligata_Pdam.wav
Iduna,pallida,XC612355-0639.wav
Iduna,pallida,XC612356-0716.wav
Lyrurus,tetrix,XC133434-2013_05_04_Birkhahn_VereinerAlm _GAP_11Uhr41_T1187.wav
Lyrurus,tetrix,XC248064-Birkhuhn_1__25.04.2015.wav
Lyrurus,tetrix,XC177146-Birkhuhn M Ruf.wav
Lyrurus,tetrix,XC623497-210220_0232 Birkhuhn Fauchen & Kullern Auszug bester Treffer.wav
Aquila,chrysaetos,XC189550-Steinadler Juvenile.wav
Garrulus,glandarius,XC328429-1409_219-03hipan mp3.wav
Garrulus,glandarius,XC277574-30929_197i-02 mp3.wav
Garrulus,glandarius,XC168101-LS_30035x mp3.wav
Garrulus,glandarius,XC386558-170916EichelhäherRufFH 1454.wav
Garrulus,glandarius,XC196905-30469_179  x mp3.wav
Garrulus,glandarius,"XC614398-EICHELHÄHER, Alarm   8.08.2017  Egelsee  10_00 VOC_170808-5631 - Kopie.wav"
Garrulus,glandarius,eichelh.wav
Garrulus,glandarius,Eichelhaeher-ViernheimerH-2011-04-03-09Uhr50.wav
Garrulus,glandarius,XC306445-5096_179-04hiaudequ mp3.wav
Garrulus,glandarius,EichelhRWHuette26-6-12_9-17.wav
Garrulus,glandarius,XC333445-5183_059-04hieqn mp3.wav
Garrulus,glandarius,XC539831-eichel0918.wav
Garrulus,glandarius,XC287128-Eichelhäher.wav
Garrulus,glandarius,XC467817-TAKE-181207_0058D-c-ö-07µµ mp3.wav
Garrulus,glandarius,XC218012-1679ul-renw mp3.wav
Garrulus,glandarius,XC385361-31575_296-01´ mp3.wav
Garrulus,glandarius,XC298222-5054_000-09hiequkk mp3.wav
Garrulus,glandarius,XC198920-30504 - 1 m mp3(198kbits).wav
Garrulus,glandarius,XC491903-Garrulus glandarius_2019.07.08_08.23_01.wav
Garrulus,glandarius,XC281955-30980_119i-03 mp3.wav
Garrulus,glandarius,XC298224-5054_000-15yähiequ mp3.wav
Garrulus,glandarius,XC124132-3161REyyy mp3.wav
Garrulus,glandarius,XC412931-180429_177 1145 Kloster Andechs Mystery NNI.wav
Garrulus,glandarius,XC164930-140116_0320-3HEqNR mp3.wav
Garrulus,glandarius,XC521417-555570a-mp3- (19).wav
Garrulus,glandarius,XC168904-Eichelhäher Gesang 1.wav
Garrulus,glandarius,XC584111-31741-ö-12very-middle+foxyyyy.wav
Garrulus,glandarius,XC313045-Volkringhausen-2016-04-15-noon.wav
Garrulus,glandarius,XC338096-5246_184-08hiequen mp3.wav
Garrulus,glandarius,XC393525-025926_733-02´ mp3.wav
Garrulus,glandarius,XC199630-30508_115 - 3 m mp3.wav
Garrulus,glandarius,XC354562-170204EichelhäherRufeImFlugFH6.wav
Garrulus,glandarius,XC389779-31606_059-01´ mp3.wav
Garrulus,glandarius,XC267292-30904_000-03ü mp3.wav
Garrulus,glandarius,XC256335-30803_062-01riµ mp3.wav
Garrulus,glandarius,XC607174-181120_0043ÜÜ-02a-ö-05T.wav
Garrulus,glandarius,XC399243-180114_06XC.wav
Garrulus,glandarius,XC277461-30911_197i-03 mp3.wav
Garrulus,glandarius,XC391355-54448_0500-01´ mp3.wav
Garrulus,glandarius,XC522304-555570b-mp3 (18).wav
Garrulus,glandarius,XC348185-161226_08EichelhaeherXC.wav
Garrulus,glandarius,XC520439-555569-a-Wav-09LO-eichelh.wav
Garrulus,glandarius,XC585679-200331 Eichelhäher Mimickry Habicht SNC FH 1851.wav
Garrulus,glandarius,XC195290-30465_251 - 5 x mp3.wav
Garrulus,glandarius,XC531102-EICHELHÄHER m.  Bussardimitat.  22.02.2020  HhFM N 11_08  VOC_200222 Ausschn.wav
Garrulus,glandarius,XC171715-LS_30145-2-yy-xx mp3(1).wav
Garrulus,glandarius,XC276909-30935_197i mp3.wav
Garrulus,glandarius,XC279522-30960_119i-05 mp3.wav
Garrulus,glandarius,XC522300-555570b-mp3 (9).wav
Garrulus,glandarius,XC376152-170617EichelhäherRufFH 1938.wav
Garrulus,glandarius,EichelhHBWaldSued23-3-12_11-09.wav
Garrulus,glandarius,XC124131-3160RE mp3.wav
Garrulus,glandarius,XC185958-30315_117 - 3x mp3.wav
Garrulus,glandarius,XC419680-Garrulus glandarius_2016.03.26.wav
Garrulus,glandarius,XC603502-lox201106_mp3.0020-01ö (1).wav
Garrulus,glandarius,1784bb mp3.wav
Garrulus,glandarius,XC337006-1421_000hiequen mp3.wav
Garrulus,glandarius,XC235326-30718_125-11ri-renw mp3.wav
Garrulus,glandarius,XC197188-140927EichelhäherAlarmrufFH3edit.wav
Garrulus,glandarius,XC198918-30502 - 2 m mp3.wav
