iteration,average loss
0,"tensor(0.0035, device='cuda:0', grad_fn=<DivBackward0>)"
200,"tensor(0.0626, device='cuda:0', grad_fn=<DivBackward0>)"
400,"tensor(0.0398, device='cuda:0', grad_fn=<DivBackward0>)"
600,"tensor(0.0307, device='cuda:0', grad_fn=<DivBackward0>)"
800,"tensor(0.0254, device='cuda:0', grad_fn=<DivBackward0>)"
1000,"tensor(0.0225, device='cuda:0', grad_fn=<DivBackward0>)"
1200,"tensor(0.0206, device='cuda:0', grad_fn=<DivBackward0>)"
1400,"tensor(0.0189, device='cuda:0', grad_fn=<DivBackward0>)"
1600,"tensor(0.0178, device='cuda:0', grad_fn=<DivBackward0>)"
1800,"tensor(0.0165, device='cuda:0', grad_fn=<DivBackward0>)"
2000,"tensor(0.0159, device='cuda:0', grad_fn=<DivBackward0>)"
2200,"tensor(0.0148, device='cuda:0', grad_fn=<DivBackward0>)"
2400,"tensor(0.0141, device='cuda:0', grad_fn=<DivBackward0>)"
2600,"tensor(0.0134, device='cuda:0', grad_fn=<DivBackward0>)"
2800,"tensor(0.0131, device='cuda:0', grad_fn=<DivBackward0>)"
3000,"tensor(0.0129, device='cuda:0', grad_fn=<DivBackward0>)"
3200,"tensor(0.0124, device='cuda:0', grad_fn=<DivBackward0>)"
3400,"tensor(0.0119, device='cuda:0', grad_fn=<DivBackward0>)"
3600,"tensor(0.0121, device='cuda:0', grad_fn=<DivBackward0>)"
3800,"tensor(0.0111, device='cuda:0', grad_fn=<DivBackward0>)"
4000,"tensor(0.0109, device='cuda:0', grad_fn=<DivBackward0>)"
4200,"tensor(0.0105, device='cuda:0', grad_fn=<DivBackward0>)"
4400,"tensor(0.0103, device='cuda:0', grad_fn=<DivBackward0>)"
4600,"tensor(0.0101, device='cuda:0', grad_fn=<DivBackward0>)"
4800,"tensor(0.0097, device='cuda:0', grad_fn=<DivBackward0>)"
5000,"tensor(0.0096, device='cuda:0', grad_fn=<DivBackward0>)"
5200,"tensor(0.0099, device='cuda:0', grad_fn=<DivBackward0>)"
5400,"tensor(0.0096, device='cuda:0', grad_fn=<DivBackward0>)"
5600,"tensor(0.0095, device='cuda:0', grad_fn=<DivBackward0>)"
5800,"tensor(0.0093, device='cuda:0', grad_fn=<DivBackward0>)"
6000,"tensor(0.0091, device='cuda:0', grad_fn=<DivBackward0>)"
6200,"tensor(0.0089, device='cuda:0', grad_fn=<DivBackward0>)"
6400,"tensor(0.0085, device='cuda:0', grad_fn=<DivBackward0>)"
6600,"tensor(0.0087, device='cuda:0', grad_fn=<DivBackward0>)"
6800,"tensor(0.0083, device='cuda:0', grad_fn=<DivBackward0>)"
7000,"tensor(0.0083, device='cuda:0', grad_fn=<DivBackward0>)"
7200,"tensor(0.0080, device='cuda:0', grad_fn=<DivBackward0>)"
7400,"tensor(0.0081, device='cuda:0', grad_fn=<DivBackward0>)"
7600,"tensor(0.0078, device='cuda:0', grad_fn=<DivBackward0>)"
7800,"tensor(0.0080, device='cuda:0', grad_fn=<DivBackward0>)"
8000,"tensor(0.0075, device='cuda:0', grad_fn=<DivBackward0>)"
8200,"tensor(0.0073, device='cuda:0', grad_fn=<DivBackward0>)"
8400,"tensor(0.0074, device='cuda:0', grad_fn=<DivBackward0>)"
8600,"tensor(0.0076, device='cuda:0', grad_fn=<DivBackward0>)"
8800,"tensor(0.0073, device='cuda:0', grad_fn=<DivBackward0>)"
9000,"tensor(0.0072, device='cuda:0', grad_fn=<DivBackward0>)"
9200,"tensor(0.0074, device='cuda:0', grad_fn=<DivBackward0>)"
9400,"tensor(0.0068, device='cuda:0', grad_fn=<DivBackward0>)"
9600,"tensor(0.0068, device='cuda:0', grad_fn=<DivBackward0>)"
9800,"tensor(0.0069, device='cuda:0', grad_fn=<DivBackward0>)"
10000,"tensor(0.0068, device='cuda:0', grad_fn=<DivBackward0>)"
10200,"tensor(0.0069, device='cuda:0', grad_fn=<DivBackward0>)"
10400,"tensor(0.0065, device='cuda:0', grad_fn=<DivBackward0>)"
10600,"tensor(0.0065, device='cuda:0', grad_fn=<DivBackward0>)"
10800,"tensor(0.0064, device='cuda:0', grad_fn=<DivBackward0>)"
11000,"tensor(0.0067, device='cuda:0', grad_fn=<DivBackward0>)"
11200,"tensor(0.0067, device='cuda:0', grad_fn=<DivBackward0>)"
11400,"tensor(0.0063, device='cuda:0', grad_fn=<DivBackward0>)"
11600,"tensor(0.0069, device='cuda:0', grad_fn=<DivBackward0>)"
11800,"tensor(0.0066, device='cuda:0', grad_fn=<DivBackward0>)"
12000,"tensor(0.0064, device='cuda:0', grad_fn=<DivBackward0>)"
12200,"tensor(0.0064, device='cuda:0', grad_fn=<DivBackward0>)"
12400,"tensor(0.0061, device='cuda:0', grad_fn=<DivBackward0>)"
