iteration,average loss
0,"tensor(0.0035, device='cuda:0', grad_fn=<DivBackward0>)"
200,"tensor(0.0595, device='cuda:0', grad_fn=<DivBackward0>)"
400,"tensor(0.0387, device='cuda:0', grad_fn=<DivBackward0>)"
600,"tensor(0.0383, device='cuda:0', grad_fn=<DivBackward0>)"
800,"tensor(0.0379, device='cuda:0', grad_fn=<DivBackward0>)"
1000,"tensor(0.0374, device='cuda:0', grad_fn=<DivBackward0>)"
1200,"tensor(0.0368, device='cuda:0', grad_fn=<DivBackward0>)"
1400,"tensor(0.0357, device='cuda:0', grad_fn=<DivBackward0>)"
1600,"tensor(0.0346, device='cuda:0', grad_fn=<DivBackward0>)"
1800,"tensor(0.0336, device='cuda:0', grad_fn=<DivBackward0>)"
2000,"tensor(0.0330, device='cuda:0', grad_fn=<DivBackward0>)"
2200,"tensor(0.0320, device='cuda:0', grad_fn=<DivBackward0>)"
2400,"tensor(0.0318, device='cuda:0', grad_fn=<DivBackward0>)"
2600,"tensor(0.0310, device='cuda:0', grad_fn=<DivBackward0>)"
2800,"tensor(0.0304, device='cuda:0', grad_fn=<DivBackward0>)"
3000,"tensor(0.0302, device='cuda:0', grad_fn=<DivBackward0>)"
3200,"tensor(0.0300, device='cuda:0', grad_fn=<DivBackward0>)"
3400,"tensor(0.0297, device='cuda:0', grad_fn=<DivBackward0>)"
3600,"tensor(0.0288, device='cuda:0', grad_fn=<DivBackward0>)"
3800,"tensor(0.0289, device='cuda:0', grad_fn=<DivBackward0>)"
4000,"tensor(0.0292, device='cuda:0', grad_fn=<DivBackward0>)"
4200,"tensor(0.0285, device='cuda:0', grad_fn=<DivBackward0>)"
4400,"tensor(0.0282, device='cuda:0', grad_fn=<DivBackward0>)"
4600,"tensor(0.0278, device='cuda:0', grad_fn=<DivBackward0>)"
4800,"tensor(0.0279, device='cuda:0', grad_fn=<DivBackward0>)"
5000,"tensor(0.0276, device='cuda:0', grad_fn=<DivBackward0>)"
5200,"tensor(0.0275, device='cuda:0', grad_fn=<DivBackward0>)"
5400,"tensor(0.0274, device='cuda:0', grad_fn=<DivBackward0>)"
5600,"tensor(0.0271, device='cuda:0', grad_fn=<DivBackward0>)"
5800,"tensor(0.0270, device='cuda:0', grad_fn=<DivBackward0>)"
6000,"tensor(0.0271, device='cuda:0', grad_fn=<DivBackward0>)"
6200,"tensor(0.0267, device='cuda:0', grad_fn=<DivBackward0>)"
6400,"tensor(0.0265, device='cuda:0', grad_fn=<DivBackward0>)"
6600,"tensor(0.0265, device='cuda:0', grad_fn=<DivBackward0>)"
6800,"tensor(0.0264, device='cuda:0', grad_fn=<DivBackward0>)"
7000,"tensor(0.0260, device='cuda:0', grad_fn=<DivBackward0>)"
7200,"tensor(0.0260, device='cuda:0', grad_fn=<DivBackward0>)"
7400,"tensor(0.0260, device='cuda:0', grad_fn=<DivBackward0>)"
7600,"tensor(0.0257, device='cuda:0', grad_fn=<DivBackward0>)"
7800,"tensor(0.0256, device='cuda:0', grad_fn=<DivBackward0>)"
8000,"tensor(0.0255, device='cuda:0', grad_fn=<DivBackward0>)"
8200,"tensor(0.0253, device='cuda:0', grad_fn=<DivBackward0>)"
8400,"tensor(0.0254, device='cuda:0', grad_fn=<DivBackward0>)"
8600,"tensor(0.0255, device='cuda:0', grad_fn=<DivBackward0>)"
8800,"tensor(0.0250, device='cuda:0', grad_fn=<DivBackward0>)"
9000,"tensor(0.0249, device='cuda:0', grad_fn=<DivBackward0>)"
9200,"tensor(0.0251, device='cuda:0', grad_fn=<DivBackward0>)"
9400,"tensor(0.0251, device='cuda:0', grad_fn=<DivBackward0>)"
9600,"tensor(0.0247, device='cuda:0', grad_fn=<DivBackward0>)"
9800,"tensor(0.0247, device='cuda:0', grad_fn=<DivBackward0>)"
10000,"tensor(0.0246, device='cuda:0', grad_fn=<DivBackward0>)"
10200,"tensor(0.0247, device='cuda:0', grad_fn=<DivBackward0>)"
10400,"tensor(0.0246, device='cuda:0', grad_fn=<DivBackward0>)"
10600,"tensor(0.0243, device='cuda:0', grad_fn=<DivBackward0>)"
10800,"tensor(0.0244, device='cuda:0', grad_fn=<DivBackward0>)"
11000,"tensor(0.0242, device='cuda:0', grad_fn=<DivBackward0>)"
11200,"tensor(0.0242, device='cuda:0', grad_fn=<DivBackward0>)"
11400,"tensor(0.0244, device='cuda:0', grad_fn=<DivBackward0>)"
11600,"tensor(0.0241, device='cuda:0', grad_fn=<DivBackward0>)"
11800,"tensor(0.0243, device='cuda:0', grad_fn=<DivBackward0>)"
12000,"tensor(0.0240, device='cuda:0', grad_fn=<DivBackward0>)"
12200,"tensor(0.0240, device='cuda:0', grad_fn=<DivBackward0>)"
12400,"tensor(0.0240, device='cuda:0', grad_fn=<DivBackward0>)"
12600,"tensor(0.0236, device='cuda:0', grad_fn=<DivBackward0>)"
12800,"tensor(0.0236, device='cuda:0', grad_fn=<DivBackward0>)"
13000,"tensor(0.0233, device='cuda:0', grad_fn=<DivBackward0>)"
13200,"tensor(0.0234, device='cuda:0', grad_fn=<DivBackward0>)"
13400,"tensor(0.0234, device='cuda:0', grad_fn=<DivBackward0>)"
13600,"tensor(0.0235, device='cuda:0', grad_fn=<DivBackward0>)"
13800,"tensor(0.0234, device='cuda:0', grad_fn=<DivBackward0>)"
14000,"tensor(0.0235, device='cuda:0', grad_fn=<DivBackward0>)"
14200,"tensor(0.0233, device='cuda:0', grad_fn=<DivBackward0>)"
14400,"tensor(0.0231, device='cuda:0', grad_fn=<DivBackward0>)"
14600,"tensor(0.0233, device='cuda:0', grad_fn=<DivBackward0>)"
14800,"tensor(0.0229, device='cuda:0', grad_fn=<DivBackward0>)"
15000,"tensor(0.0232, device='cuda:0', grad_fn=<DivBackward0>)"
15200,"tensor(0.0229, device='cuda:0', grad_fn=<DivBackward0>)"
15400,"tensor(0.0231, device='cuda:0', grad_fn=<DivBackward0>)"
15600,"tensor(0.0229, device='cuda:0', grad_fn=<DivBackward0>)"
15800,"tensor(0.0227, device='cuda:0', grad_fn=<DivBackward0>)"
16000,"tensor(0.0230, device='cuda:0', grad_fn=<DivBackward0>)"
16200,"tensor(0.0228, device='cuda:0', grad_fn=<DivBackward0>)"
16400,"tensor(0.0226, device='cuda:0', grad_fn=<DivBackward0>)"
16600,"tensor(0.0224, device='cuda:0', grad_fn=<DivBackward0>)"
16800,"tensor(0.0226, device='cuda:0', grad_fn=<DivBackward0>)"
17000,"tensor(0.0226, device='cuda:0', grad_fn=<DivBackward0>)"
17200,"tensor(0.0227, device='cuda:0', grad_fn=<DivBackward0>)"
17400,"tensor(0.0230, device='cuda:0', grad_fn=<DivBackward0>)"
17600,"tensor(0.0245, device='cuda:0', grad_fn=<DivBackward0>)"
17800,"tensor(0.0230, device='cuda:0', grad_fn=<DivBackward0>)"
18000,"tensor(0.0227, device='cuda:0', grad_fn=<DivBackward0>)"
18200,"tensor(0.0222, device='cuda:0', grad_fn=<DivBackward0>)"
18400,"tensor(0.0223, device='cuda:0', grad_fn=<DivBackward0>)"
18600,"tensor(0.0221, device='cuda:0', grad_fn=<DivBackward0>)"
18800,"tensor(0.0226, device='cuda:0', grad_fn=<DivBackward0>)"
19000,"tensor(0.0225, device='cuda:0', grad_fn=<DivBackward0>)"
19200,"tensor(0.0219, device='cuda:0', grad_fn=<DivBackward0>)"
19400,"tensor(0.0221, device='cuda:0', grad_fn=<DivBackward0>)"
19600,"tensor(0.0222, device='cuda:0', grad_fn=<DivBackward0>)"
19800,"tensor(0.0220, device='cuda:0', grad_fn=<DivBackward0>)"
20000,"tensor(0.0219, device='cuda:0', grad_fn=<DivBackward0>)"
