iteration,average loss
0,"tensor(0.0035, device='cuda:0', grad_fn=<DivBackward0>)"
200,"tensor(0.0550, device='cuda:0', grad_fn=<DivBackward0>)"
400,"tensor(0.0351, device='cuda:0', grad_fn=<DivBackward0>)"
600,"tensor(0.0316, device='cuda:0', grad_fn=<DivBackward0>)"
800,"tensor(0.0293, device='cuda:0', grad_fn=<DivBackward0>)"
1000,"tensor(0.0281, device='cuda:0', grad_fn=<DivBackward0>)"
1200,"tensor(0.0270, device='cuda:0', grad_fn=<DivBackward0>)"
1400,"tensor(0.0254, device='cuda:0', grad_fn=<DivBackward0>)"
1600,"tensor(0.0251, device='cuda:0', grad_fn=<DivBackward0>)"
1800,"tensor(0.0236, device='cuda:0', grad_fn=<DivBackward0>)"
2000,"tensor(0.0235, device='cuda:0', grad_fn=<DivBackward0>)"
2200,"tensor(0.0224, device='cuda:0', grad_fn=<DivBackward0>)"
2400,"tensor(0.0232, device='cuda:0', grad_fn=<DivBackward0>)"
2600,"tensor(0.0222, device='cuda:0', grad_fn=<DivBackward0>)"
2800,"tensor(0.0218, device='cuda:0', grad_fn=<DivBackward0>)"
3000,"tensor(0.0206, device='cuda:0', grad_fn=<DivBackward0>)"
3200,"tensor(0.0204, device='cuda:0', grad_fn=<DivBackward0>)"
3400,"tensor(0.0199, device='cuda:0', grad_fn=<DivBackward0>)"
3600,"tensor(0.0199, device='cuda:0', grad_fn=<DivBackward0>)"
3800,"tensor(0.0190, device='cuda:0', grad_fn=<DivBackward0>)"
4000,"tensor(0.0196, device='cuda:0', grad_fn=<DivBackward0>)"
4200,"tensor(0.0186, device='cuda:0', grad_fn=<DivBackward0>)"
4400,"tensor(0.0186, device='cuda:0', grad_fn=<DivBackward0>)"
4600,"tensor(0.0184, device='cuda:0', grad_fn=<DivBackward0>)"
4800,"tensor(0.0182, device='cuda:0', grad_fn=<DivBackward0>)"
5000,"tensor(0.0175, device='cuda:0', grad_fn=<DivBackward0>)"
5200,"tensor(0.0175, device='cuda:0', grad_fn=<DivBackward0>)"
5400,"tensor(0.0173, device='cuda:0', grad_fn=<DivBackward0>)"
5600,"tensor(0.0172, device='cuda:0', grad_fn=<DivBackward0>)"
5800,"tensor(0.0164, device='cuda:0', grad_fn=<DivBackward0>)"
6000,"tensor(0.0167, device='cuda:0', grad_fn=<DivBackward0>)"
6200,"tensor(0.0167, device='cuda:0', grad_fn=<DivBackward0>)"
6400,"tensor(0.0163, device='cuda:0', grad_fn=<DivBackward0>)"
6600,"tensor(0.0164, device='cuda:0', grad_fn=<DivBackward0>)"
6800,"tensor(0.0160, device='cuda:0', grad_fn=<DivBackward0>)"
7000,"tensor(0.0154, device='cuda:0', grad_fn=<DivBackward0>)"
7200,"tensor(0.0155, device='cuda:0', grad_fn=<DivBackward0>)"
7400,"tensor(0.0151, device='cuda:0', grad_fn=<DivBackward0>)"
7600,"tensor(0.0152, device='cuda:0', grad_fn=<DivBackward0>)"
7800,"tensor(0.0150, device='cuda:0', grad_fn=<DivBackward0>)"
8000,"tensor(0.0147, device='cuda:0', grad_fn=<DivBackward0>)"
8200,"tensor(0.0147, device='cuda:0', grad_fn=<DivBackward0>)"
8400,"tensor(0.0146, device='cuda:0', grad_fn=<DivBackward0>)"
8600,"tensor(0.0140, device='cuda:0', grad_fn=<DivBackward0>)"
8800,"tensor(0.0142, device='cuda:0', grad_fn=<DivBackward0>)"
9000,"tensor(0.0139, device='cuda:0', grad_fn=<DivBackward0>)"
9200,"tensor(0.0139, device='cuda:0', grad_fn=<DivBackward0>)"
9400,"tensor(0.0142, device='cuda:0', grad_fn=<DivBackward0>)"
9600,"tensor(0.0134, device='cuda:0', grad_fn=<DivBackward0>)"
9800,"tensor(0.0138, device='cuda:0', grad_fn=<DivBackward0>)"
10000,"tensor(0.0137, device='cuda:0', grad_fn=<DivBackward0>)"
10200,"tensor(0.0134, device='cuda:0', grad_fn=<DivBackward0>)"
10400,"tensor(0.0130, device='cuda:0', grad_fn=<DivBackward0>)"
10600,"tensor(0.0130, device='cuda:0', grad_fn=<DivBackward0>)"
10800,"tensor(0.0126, device='cuda:0', grad_fn=<DivBackward0>)"
11000,"tensor(0.0126, device='cuda:0', grad_fn=<DivBackward0>)"
11200,"tensor(0.0126, device='cuda:0', grad_fn=<DivBackward0>)"
11400,"tensor(0.0128, device='cuda:0', grad_fn=<DivBackward0>)"
11600,"tensor(0.0126, device='cuda:0', grad_fn=<DivBackward0>)"
11800,"tensor(0.0124, device='cuda:0', grad_fn=<DivBackward0>)"
12000,"tensor(0.0124, device='cuda:0', grad_fn=<DivBackward0>)"
12200,"tensor(0.0122, device='cuda:0', grad_fn=<DivBackward0>)"
12400,"tensor(0.0123, device='cuda:0', grad_fn=<DivBackward0>)"
12600,"tensor(0.0119, device='cuda:0', grad_fn=<DivBackward0>)"
12800,"tensor(0.0121, device='cuda:0', grad_fn=<DivBackward0>)"
13000,"tensor(0.0118, device='cuda:0', grad_fn=<DivBackward0>)"
13200,"tensor(0.0119, device='cuda:0', grad_fn=<DivBackward0>)"
13400,"tensor(0.0116, device='cuda:0', grad_fn=<DivBackward0>)"
13600,"tensor(0.0123, device='cuda:0', grad_fn=<DivBackward0>)"
13800,"tensor(0.0115, device='cuda:0', grad_fn=<DivBackward0>)"
14000,"tensor(0.0111, device='cuda:0', grad_fn=<DivBackward0>)"
14200,"tensor(0.0115, device='cuda:0', grad_fn=<DivBackward0>)"
14400,"tensor(0.0111, device='cuda:0', grad_fn=<DivBackward0>)"
14600,"tensor(0.0114, device='cuda:0', grad_fn=<DivBackward0>)"
14800,"tensor(0.0113, device='cuda:0', grad_fn=<DivBackward0>)"
15000,"tensor(0.0111, device='cuda:0', grad_fn=<DivBackward0>)"
15200,"tensor(0.0106, device='cuda:0', grad_fn=<DivBackward0>)"
15400,"tensor(0.0111, device='cuda:0', grad_fn=<DivBackward0>)"
15600,"tensor(0.0106, device='cuda:0', grad_fn=<DivBackward0>)"
15800,"tensor(0.0109, device='cuda:0', grad_fn=<DivBackward0>)"
16000,"tensor(0.0104, device='cuda:0', grad_fn=<DivBackward0>)"
16200,"tensor(0.0104, device='cuda:0', grad_fn=<DivBackward0>)"
16400,"tensor(0.0103, device='cuda:0', grad_fn=<DivBackward0>)"
16600,"tensor(0.0105, device='cuda:0', grad_fn=<DivBackward0>)"
16800,"tensor(0.0100, device='cuda:0', grad_fn=<DivBackward0>)"
17000,"tensor(0.0107, device='cuda:0', grad_fn=<DivBackward0>)"
17200,"tensor(0.0101, device='cuda:0', grad_fn=<DivBackward0>)"
17400,"tensor(0.0103, device='cuda:0', grad_fn=<DivBackward0>)"
17600,"tensor(0.0097, device='cuda:0', grad_fn=<DivBackward0>)"
17800,"tensor(0.0103, device='cuda:0', grad_fn=<DivBackward0>)"
18000,"tensor(0.0099, device='cuda:0', grad_fn=<DivBackward0>)"
18200,"tensor(0.0101, device='cuda:0', grad_fn=<DivBackward0>)"
18400,"tensor(0.0096, device='cuda:0', grad_fn=<DivBackward0>)"
18600,"tensor(0.0099, device='cuda:0', grad_fn=<DivBackward0>)"
18800,"tensor(0.0095, device='cuda:0', grad_fn=<DivBackward0>)"
19000,"tensor(0.0098, device='cuda:0', grad_fn=<DivBackward0>)"
19200,"tensor(0.0094, device='cuda:0', grad_fn=<DivBackward0>)"
19400,"tensor(0.0098, device='cuda:0', grad_fn=<DivBackward0>)"
19600,"tensor(0.0092, device='cuda:0', grad_fn=<DivBackward0>)"
19800,"tensor(0.0095, device='cuda:0', grad_fn=<DivBackward0>)"
20000,"tensor(0.0090, device='cuda:0', grad_fn=<DivBackward0>)"
